Landing Page,Channel,Sessions,Transactions,Conversion Rate (%)
/,Paid Search,57561,4904,8.52
/,Direct,48253,3982,8.25
/,Organic Search,30853,2489,8.07
/,Referral,23841,754,3.16
/products/revitalash®-advanced-eyelash-conditioner-serum,Referral,17786,273,1.53
/products/revitalash-advanced-eyelash-conditioner-serum,Paid Shopping,17120,875,5.11
/products/revitalash-advanced-eyelash-conditioner-serum,Direct,10462,615,5.88
/,Paid Social,10195,272,2.67
/products/revitalash®-advanced-eyelash-conditioner-serum,Organic Search,9450,327,3.46
/products/revitalash®-advanced-eyelash-conditioner-serum,Paid Shopping,5619,287,5.11
/products/revitalash-advanced-eyelash-conditioner-serum,Organic Social,5434,12,0.22
/products/revitalash®-advanced-eyelash-conditioner-serum,Direct,4399,153,3.48
/products/limited-edition-revitalash®-revitabrow®-heroes-collection,Paid Shopping,4274,159,3.72
/products/revitalash-advanced-sensitive,Organic Search,4016,165,4.11
/products/revitalash-advanced-eyelash-conditioner-serum,Organic Search,3927,135,3.44
/,Cross-network,3817,159,4.17
/collections/lash,Direct,3423,347,10.14
/products/double-ended-revitalash-advanced-revitabrow-advanced,Paid Social,2756,65,2.36
/products/revitalash-advanced-sensitive,Paid Shopping,2675,50,1.87
/products/signature-travel-kit-lash,Paid Social,2664,24,0.90
/products/revitalash-advanced-eyelash-conditioner-serum,Referral,2531,137,5.41
/collections/serums,Organic Search,2522,140,5.55
/products/revitalash-advanced-eyelash-conditioner-serum,Paid Search,2359,77,3.26
/products/double-ended-volume-set,Paid Shopping,2255,84,3.73
/products/revitalash-advanced-eyelash-conditioner,Organic Search,2165,71,3.28
/products/revitalash-advanced-eyelash-conditioner-serum,Cross-network,2124,102,4.80
/products/revitabrow®-advanced-eyebrow-serum,Organic Search,2020,141,6.98
/,Paid Shopping,1920,68,3.54
/collections/best-sellers-hp,Organic Shopping,1883,33,1.75
/products/revitabrow-advanced-eyebrow-serum,Paid Shopping,1883,93,4.94
/products/thickening-shampoo,Paid Shopping,1876,25,1.33
/collections/gifts,Direct,1858,112,6.03
/products/revitalash-advanced-sensitive,Direct,1847,75,4.06
/collections/all-products,Direct,1689,343,20.31
/collections/all,Direct,1647,93,5.65
/products/revitabrow-advanced-eyebrow-serum,Organic Search,1637,123,7.51
/products/lash-and-brow-masque,Paid Shopping,1509,27,1.79
/,Unassigned,1389,86,6.19
/collections/best-sellers-hp,Direct,1354,42,3.10
/products/signature-travel-kit-lash,Direct,1326,78,5.88
/collections/gifts,Paid Search,1309,106,8.10
/,Email,1287,160,12.43
/collections/all-products/products/ultimate-eye-collection-revitalash®-advanced-summer-collection,Paid Social,1264,15,1.19
/products/lash-brow-set,Paid Shopping,1259,27,2.14
/products/revitabrow-advanced-eyebrow-serum,Direct,1239,80,6.46
/collections/brow,Direct,1222,112,9.17
/products/dssrla,Paid Shopping,1178,29,2.46
/products/thickening-shampoo,Organic Search,1169,63,5.39
/products/hi-def-brow-gel,Paid Shopping,1098,30,2.73
/,Organic Social,1080,22,2.04
/collections/serums,Direct,1078,43,3.99
/products/volumizing-hair-collection,Paid Shopping,961,16,1.66
/products/wash-go-set,Paid Shopping,951,83,8.73
/products/most-coveted-collection-lash,Direct,908,54,5.95
/collections/all,Organic Search,890,69,7.75
/collections/all-products/products/ultimate-eye-collection-revitalash®-advanced-summer-collection,Direct,856,65,7.59
/collections/all-products/products/signature-travel-kit-lash,Referral,846,13,1.54
/products/ultimate-eye-collection-revitalash®-advanced-summer-collection,Direct,827,45,5.44
/blogs/news/overplucked-brows-here-s-what-to-do,Direct,812,18,2.22
/products/revitabrow®-advanced-eyebrow-serum,Direct,795,16,2.01
/products/limited-edition-of-revitabrow-advanced-3-5ml,Paid Social,792,16,2.02
/collections/best-sellers,Direct,790,24,3.04
/collections/all-products/products/revitalash®-advanced-eyelash-conditioner-serum,Direct,748,32,4.28
/collections/best-sellers-hp,Paid Search,723,21,2.90
/products/signature-eyelash-curler,Paid Shopping,720,12,1.67
/collections/hair,Direct,719,36,5.01
/products/lash-refresh-collection-spring-2025,Unassigned,713,25,3.51
/products/wow-brow-limited-edition-of-revitabrow-advanced-3-5ml,Direct,673,77,11.44
/products/revitalash®-advanced-eyelash-conditioner-serum,Paid Search,659,22,3.34
/products/defining-liner-eyeliner,Paid Shopping,649,22,3.39
/products/double-ended-revitalash-advanced-revitabrow-advanced,Direct,618,42,6.80
/collections/all,Paid Search,613,58,9.46
/collections/lash,Organic Search,610,21,3.44
/products/double-ended-volume-set,Organic Search,597,33,5.53
/products/revitabrow-advanced-eyebrow-conditioner,Organic Search,582,21,3.61
/products/signature-travel-kit-lash,Email,581,34,5.85
/products/lash-brow-set,Paid Search,580,35,6.03
/products/lash-refresh-collection-spring-2025,Paid Shopping,577,11,1.91
/collections/best-sellers-hp,Referral,576,12,2.08
/products/thickening-shampoo,Direct,560,14,2.50
/products/lash-brow-set,Organic Search,558,29,5.20
/products/hi-def-brow-pencil,Paid Shopping,541,12,2.22
/products/revitabrow-advanced-eyebrow-serum,Unassigned,533,34,6.38
/products/revitabrow®-advanced-eyebrow-conditioner,Paid Shopping,518,37,7.14
/products/wash-go-set,Direct,513,28,5.46
/collections/best-sellers,Organic Search,510,25,4.90
/products/signature-eyelash-curler,Referral,509,13,2.55
/products/ultimate-brow-collection-revitabrow®-advanced-summer-collection,Direct,509,39,7.66
/collections/makeup,Direct,502,16,3.19
/collections/lash,Paid Search,497,24,4.83
/collections,Direct,496,75,15.12
/products/volume-enhancing-foam,Organic Search,492,10,2.03
/collections/brow,Unassigned,460,34,7.39
/products/revitalash®-advanced-eyelash-conditioner-serum,Cross-network,457,21,4.60
/products/brow-refresh-collection-spring-2025,Unassigned,455,12,2.64
/collections/best-sellers-hp,Organic Search,453,17,3.75
/collections/ultimate-summer-collections,Direct,449,30,6.68
/products/hi-def-brow-gel,Organic Search,434,15,3.46
/products/most-coveted-collection-lash,Paid Shopping,433,12,2.77
/products/signature-travel-kit-lash,Paid Shopping,431,13,3.02
/products/revitabrow-advanced-eyebrow-serum,Cross-network,430,20,4.65
/blogs/news/the-real-reason-your-hair-is-damaged-what-to-do-about-it,Direct,427,16,3.75
/products/lash-brow-set,Direct,425,21,4.94
/collections/all-revitalash-cosmetics-products,Direct,394,19,4.82
/products/double-ended-volume-set,Direct,387,32,8.27
/products/double-ended-revitalash-advanced-revitabrow-advanced,Paid Shopping,379,11,2.90
/products/hi-def-brow-gel,Direct,379,16,4.22
/products/limited-edition-of-revitabrow-advanced-3-5ml,Direct,378,13,3.44
/collections/gifts,Organic Search,371,10,2.70
/products/lash-refresh-collection-spring-2025,Direct,371,21,5.66
/products/revitabrow®-advanced-eyebrow-conditioner,Organic Search,355,28,7.89
/products/revitalash-advanced-sensitive,Paid Search,354,13,3.67
/products/limited-edition-revitalash®-revitabrow®-heroes-collection,Paid Social,350,10,2.86
/collections/all-products/products/thickening-shampoo,Paid Search,341,34,9.97
/collections/all-products,Organic Search,329,46,13.98
/products/lash-icons-collection-revitalash,Direct,325,20,6.15
/products/limited-edition-revitalash®-revitabrow®-heroes-collection,Direct,322,22,6.83
/products/signature-travel-kit-lash,Paid Search,318,15,4.72
/products/revitalash-advanced-eyelash-conditioner,Direct,314,11,3.50
/collections/all-products/products/lash-brow-set,Direct,311,12,3.86
/collections/gifts,Unassigned,299,27,9.03
/collections/all-products,Email,298,10,3.36
/products/revitabrow®-advanced-eyebrow-serum,Paid Shopping,295,16,5.42
/products/revitalash®-advanced-eyelash-conditioner-serum,Email,288,19,6.60
/account/login,Direct,281,20,7.12
/collections/best-selling-serums,Email,274,12,4.38
/collections/serums,Paid Search,261,13,4.98
/collections/all-revitalash-cosmetics-products,Paid Search,258,10,3.88
/products/revitalash-advanced-eyelash-conditioner-serum,Unassigned,250,12,4.80
/collections/all-products/products/volume-enhancing-foam,Paid Search,247,11,4.45
/collections/brow,Organic Search,246,18,7.32
/products/revitalash-advanced-eyelash-conditioner-serum,Organic Shopping,222,19,8.56
/products/wash-go-set,Organic Search,211,18,8.53
/blogs/news/the-best-a-brow-can-get,Direct,200,11,5.50
/collections/all-products/products/ultimate-brow-collection-revitabrow®-advanced-summer-collection,Direct,194,18,9.28
/collections/hair-collection,Email,148,16,10.81
/products/hi-def-brow-gel,Paid Search,145,10,6.90
/collections/all-products,Paid Search,129,32,24.81
/products/revitabrow®-advanced-eyebrow-serum,Email,97,12,12.37
/cart,Direct,76,15,19.74
/products/limited-edition-of-revitabrow-advanced-3-5ml,Organic Search,73,11,15.07